station,latitute,longitude,elevation,T
95758099999,-32.0333333,150.8333333,223.0,15.975494672754946
58457099999,30.228333,120.431667,7.01,18.724358974358967
06320099999,51.9333333,3.6666666,19.0,12.37945205479452
48431599999,14.949497,102.312736,233.17,27.547336377473364
47709099999,36.166758,137.922669,665.07,14.286301369863013
94147099999,-11.0166666,136.75,19.0,28.208371385083712
17535099999,35.2833333,33.8833333,39.0,20.60334855403349
47110099999,37.558311,126.790586,17.67,12.49817351598174
99800999999,43.25,-77.5833333,83.0,10.071537290715375
72746604918,44.98611,-96.04333,329.8,7.618569254185693
71726099999,47.9166666,-74.6166666,445.0,2.272559852670347
47742099999,35.55,133.2333333,3.8,16.021819870009278
42901099999,21.6166666,87.5,6.0,27.1103500761035
06203099999,52.3666666,3.35,24.0,12.416133942161338
94298099999,-19.0833333,152.3833333,8.0,25.692998477929994
95710099999,-31.9833333,147.95,216.0,16.960055096418735
94682099999,-34.4333333,140.6,30.0,16.54566210045662
15498099999,43.6666666,25.35,34.0,13.55494672754947
99773899999,46.57,-90.43,186.0,5.636681887366816
72428804804,40.078406,-83.078332,275.0,12.501978691019792
17505099999,35.3,32.9666666,89.0,19.86118721461187
11502099999,50.6833333,14.0333333,378.59,9.944292237442925
42123099999,29.9166666,73.9166666,177.0,25.779158993247385
06685099999,47.0333333,9.0666666,517.51,10.75788184879094
72529400383,35.017,-80.083,91.1,16.27045177045177
71263099999,43.173611,-79.935,237.74,8.428919330289194
20292099999,77.7166666,104.3,15.0,-11.015829528158298
06380099999,50.911658,5.770144,114.3,12.122831050228307
99999904990,43.7346,-96.6222,485.9,6.978843226788432
11231099999,46.65,14.3333333,452.0,10.529375951293764
99780399999,46.7833333,-91.3833333,186.0,4.250684931506849
15525499999,43.45,24.5,101.0,13.626027397260268
72545404903,41.27583,-91.67333,229.8,9.820441988950279
71174099999,61.094166,-94.070833,9.75,-7.837476979742173
54374099999,41.8,126.9166666,381.0,5.4393799877225275
85586099999,-33.65,-71.6166666,75.0,12.209772798008093
99999903063,37.8639,-103.8224,1336.9,11.258751902587518
38987099999,35.2833333,62.35,625.0,17.685844748858447
31329099999,53.0666667,132.9333333,543.0,-3.2164383561643857
72641304875,43.41667,-88.13333,269.4,7.373515981735163
12399099999,52.0666666,23.6166666,137.0,9.034398782343986
03163499999,56.452499,-3.025833,5.18,10.833333333333334
11679099999,49.9833333,16.4166666,404.9,9.169558599695588
72070999999,41.035583,-83.982025,232.56,11.570483225607878
65361099999,8.9833333,1.15,387.0,26.688827331486614
29276099999,58.1833333,94.75,161.08,-0.6869101978691007
71917099999,79.9833333,-85.9333333,10.0,-16.800456621004564
03373599999,53.574444,-0.350833,36.88,11.631202435312026
16324099999,40.517514,17.403212,65.53,20.59391171993912
72344013964,35.33346,-94.36526,136.7,17.10837138508371
84425099999,-5.893772,-76.118211,178.91,28.747100122100115
08391099999,37.418,-5.893106,33.83,19.976864535768645
72451623020,37.05,-100.96667,875.7,13.632724505327245
67009099999,-12.3494,49.291747,113.99,26.67260273972603
72093200317,31.606,-90.409,149.0,17.841552511415525
29587099999,55.6333333,95.4666666,252.0,0.4986301369863
48334099999,18.3166666,99.2833333,319.0,26.06590563165905
38911099999,37.8333333,65.2,240.0,19.432267884322684
72086600292,47.29,-101.581,553.2,4.736377473363776
47927699999,24.826667,125.144722,16.45,25.109893455098938
83967099999,-29.945944,-51.144367,7.92,20.062861491628617
02031099999,68.0666666,19.8333333,493.0,-0.29396202925614684
71267099999,49.6333333,-112.8,929.0,5.979452054794522
17239099999,38.35,31.4166666,1002.0,14.17897814712219
71619099999,48.0119444,-65.3316666,46.4,5.2838827838827855
72712014607,46.87049,-68.01723,188.6,5.6873668188736675
